Team,OVA
Manchester City,85
Liverpool,84
Arsenal,82
Chelsea,82
Manchester United,82
Tottenham Hotspur,81
Newcastle United,80
Aston Villa,79
West Ham United,78
Leicester City,78
Wolverhampton Wanderers,78
Nottingham Forest,77
Brighton & Hove Albion,77
Everton,76
Crystal Palace,76
Fulham,76
Leeds United,75
Southampton,75
Brentford,75
AFC Bournemouth,74
Burnley,73
Norwich City,72
Sheffield United,72
Watford,72
Middlesbrough,72
West Bromwich Albion,71
Blackburn Rovers,70
Coventry City,70
Preston North End,70
Stoke City,70
Queens Park Rangers,70
Millwall,70
Luton Town,70
Hull City,70
Reading,69
Birmingham City,69
Sunderland,69
Bristol City,69
Huddersfield Town,69
Swansea City,69
Wigan Athletic,68
Cardiff City,68
Rotherham United,67
Blackpool,67
